x (m)	y (m)	z (m)	 	R (m)	Theta (deg)	z (m)	 	Bx (T)	By (T)	Bz (T)	 	Br (T)	Btheta (T)	Bz (T)	 	B (T)
-1.05	0	0	 	1.05	180	0	 	-7.17606e-16	-5.8597	0	 	0	5.8597	0	 	5.8597
-1	0	0	 	1	180	0	 	-nan	-nan	-nan	 	-nan	-nan	-nan	 	-nan
-0.95	0	0	 	0.95	180	0	 	-4.37065e-16	-5.38204	0	 	-2.22045e-16	5.38204	0	 	5.38204
-0.9	0	0	 	0.9	180	0	 	-8.74592e-16	-5.32846	0	 	2.22045e-16	5.32846	0	 	5.32846
-0.85	0	0	 	0.85	180	0	 	-8.47474e-16	-5.10702	0	 	2.22045e-16	5.10702	0	 	5.10702
-0.8	0	0	 	0.8	180	0	 	-5.93147e-16	-4.84342	0	 	0	4.84342	0	 	4.84342
-0.75	0	0	 	0.75	180	0	 	-3.36736e-16	-4.56279	0	 	-2.22045e-16	4.56279	0	 	4.56279
-0.7	0	0	 	0.7	180	0	 	-7.45403e-16	-4.27355	0	 	2.22045e-16	4.27355	0	 	4.27355
-0.65	0	0	 	0.65	180	0	 	-7.09366e-16	-3.97928	0	 	2.22045e-16	3.97928	0	 	3.97928
-0.6	0	0	 	0.6	180	0	 	-6.72934e-16	-3.68179	0	 	2.22045e-16	3.68179	0	 	3.68179
-0.55	0	0	 	0.55	180	0	 	-8.58276e-16	-3.38209	0	 	4.44089e-16	3.38209	0	 	3.38209
-0.5	0	0	 	0.5	180	0	 	-3.77288e-16	-3.08079	0	 	0	3.08079	0	 	3.08079
-0.45	0	0	 	0.45	180	0	 	-7.84332e-16	-2.77829	0	 	4.44089e-16	2.77829	0	 	2.77829
-0.4	0	0	 	0.4	180	0	 	1.41003e-16	-2.47488	0	 	-4.44089e-16	2.47488	0	 	2.47488
-0.35	0	0	 	0.35	180	0	 	-7.09935e-16	-2.17079	0	 	4.44089e-16	2.17079	0	 	2.17079
-0.3	0	0	 	0.3	180	0	 	2.1554e-16	-1.86624	0	 	-4.44089e-16	1.86624	0	 	1.86624
-0.25	0	0	 	0.25	180	0	 	-1.0794e-15	-1.56142	0	 	8.88178e-16	1.56142	0	 	1.56142
-0.2	0	0	 	0.2	180	0	 	-1.93023e-15	-1.25649	0	 	1.77636e-15	1.25649	0	 	1.25649
-0.15	0	0	 	0.15	180	0	 	-1.1653e-16	-0.951537	0	 	0	0.951537	0	 	0.951537
-0.1	0	0	 	0.1	180	0	 	1.69717e-15	-0.646589	0	 	-1.77636e-15	0.646589	0	 	0.646589
